// Формат таблицы:
//
//    subject; subj nominative; subj genitive
//
// subject — переменная «subject» из Core\..\SkillDef\Skills.xml, используется в генерации названия и описания учебника.
// subj — краткая форма или синоним subject, используется в генерации названия учебника.

// Animals
физиологии животных; животные; животных
скотоводства; скотоводство; скотоводства
приручения животных; приручение; приручения
животноводства; животноводство; животноводства
дрессировки животных; дрессировка; дрессировки
зоологии; зоология; зоологии
овцеводства; овцеводство; овцеводства
одомашнивания животных; одомашнивание; одомашнивания
освоения фауны; фауна; фауны
криптозоологии; криптозоология; криптозоологии
птицеводства; птицеводство; птицеводства

// Artistic
искусствоведения; искусство; искусства
гончарного дела; керамика; керамики
искусства пластики; ваяние; ваяния
живописи; живопись; живописи
творчества; творчество; творчества
экспрессионизма; экспрессионизм; экспрессионизма
эстетики; эстетика; эстетики
дизайна; дизайн; дизайна
искусства скульптуры; скульптура; скульптуры
импрессионизма; импрессионизм; импрессионизма
артистизма; артистизм; артистизма

// Construction
конструирования; конструирование; конструирования
строительства; стройка; стройки
архитектуры; архитектура; архитектуры
строительной инженерии; строительство; строительства
проектирования; проектирование; проектирование
реконструкции; реконструкция; реконструкции
зодчества; зодчество; зодчества
фундаментостроения; фундаментостроение; фундаментостроения
плотницкого дела; плотницкое дело; плотницкого дела
развития инфраструктуры; инфраструктура; инфраструктуры

// Cooking
кулинарии; кулинария; кулинарии
диетологии; диета; диеты
хлебопечения; выпечка; выпечки
кулинарного искусства; деликатесы; деликатесов
составления кулинарных рецептов; кулинарные рецепты; кулинарных рецептов
гастрономии; гастрономия; гастрономии
дегустации; дегустация; дегустации
поваренного искусства; традиционная кухня; традиционной кухни
заготовки пряностей; пряности; пряностей
здорового питания; питание; питания
нейрогастрономии; теория вкуса; теория вкуса
приготовления соусов; соусы; соусов
искусства сервировки; сервировка; сервировки

// Crafting
рукоделия; рукоделие; рукоделия
текстильной промышленности; шитьё; шитья
промышленности; производство; производства
ручного производства; ручная работа; ручной работы
ремесленного дела; ремесленничество; ремесленничества
обработки металлов; ковка; ковки
ремесленничества; ремесло; ремесла
фрезерной обработки; фрезерование; фрезерования
кустарного производства; кустарничество; кустарничества

// Intellectual
физики; физика; физики
химии; химия; химии
орбитальной динамики; орбитальная динамика; орбитальной динамики
математики; математика; математики
биологии; биология; биология
естествознания; естествознание; естествознания
системных исследований; исследования; исследований
научных инноваций; инновации; инноваций
научных открытий; научные открытия; научных открытий
анализа; анализ; анализа
экспериментирования; эксперименты; экспериментов
познания; познание; познания
анализа данных; анализ данных; анализа данных
научного познания; наука; науки
