// ScenarioDef
гемофаг (не младенец); гемофаги (не младенцы)

// ThingDef
детский шлем; детские шлемы
детские штаны; детские штаны
детский пуховик; детские пуховики
детский комбинезон; детские комбинезоны
детская футболка; детские футболки
беспроводная гарнитура; беспроводные гарнитуры
шлем мехкомандира; шлемы мехкомандира
шлем мехлорда; шлемы мехлорда
матричная гарнитура; матричные гарнитуры
защитная маска; защитные маски
противогаз; противогазы
интеграционная гарнитура; интеграционные гарнитуры
тяжёлый щит; тяжёлые щиты
канальный ранец; канальные ранцы
управляющий ранец; управляющие ранцы
токсичный ранец; токсичные ранцы
тяжёлый патронташ; тяжёлые патронташи
костюм мехлорда; костюмы мехлорда
перевязь; перевязи
древний канальный узел; древние канальные узлы
древняя малая зарядная станция; древние малые зарядные станции
древний большой гестатор механоидов; древние большие гестаторы механоидов
древний гестатор механоидов; древние гестаторы механоидов
древняя зарядная станция; древние зарядные станции
древний токсичный генератор; древние токсичные генераторы
орудие древнего экзострайдера; орудия древних экзострайдеров
голова древнего экзострайдера; головы древних экзострайдеров
нога древнего экзострайдера; ноги древних экзострайдеров
корпус древнего экзострайдера; корпусы древних экзострайдеров
ускоритель торпора; ускорители торпора
торпорный саркофаг; торпорные саркофаги
глюкозная помпа; глюкозные помпы
гемобустер; гемобустеры
гемопомпа; гемопомпы
психопомпа; психопомпы
игрушка; игрушки
место сна младенца; места сна младенцев
доска; доски
люлька; люльки
парта; парты
коробка с игрушками; коробки с игрушками
канальный узел; канальные узлы
механоидная антенна; механоидные антенны
генный сборщик; генные сборщики
генный банк; генные банки
генный экстрактор; генные экстракторы
генетический обработчик; генетические обработчики
инкубатор; инкубаторы
механоидная тарелка; механоидные тарелки
механоидный усилитель; механоидные усилители
очистная помпа; очистные помпы
кровавый факел; кровавые факелы
разбившийся челнок; разбившиеся челноки
разбившийся корабль механитора; разбившиеся корабли механиторов
токсичный генератор; токсичные генераторы
химическая мина; химические мины
расщепитель отходов; расщепители отходов
кокон мегаскарабея; коконы мегаскарабеев
кокон мегапаука; коконы мегапауков
кокон пещерного жука; коконы пещерных жуков
большой гестатор механоидов; большие гестаторы механоидов
гестатор механоидов; гестаторы механоидов
программатор субъядер; программаторы субъядер
душегуб; душегубы
церебральный анализатор; церебральные анализаторы
зарядная станция механоидов; зарядные станции механоидов
большая зарядная станция механоидов; большие зарядные станции механоидов
кокон насекомых; коконы насекомых
щит механоидов; щиты механоидов
детоксицирующая почка; детоксицирующие почки
детоксицирующее лёгкое; детоксицирующие лёгкие
диспетчерский сублинк (базовый); диспетчерские сублинки (базовые)
диспетчерский сублинк (улучшенный); диспетчерские сублинки (улучшенные)
гестационный процессор; гестационные процессоры
мехлинк; мехлинки
модуль дистанционного ремонта; модули дистанционного ремонта
модуль дистанционного щита; модули дистанционного щита
ремонтный зонд; ремонтные зонды
детское питание; детское питание
гемоген-пакет; гемоген-пакеты
токсичный снаряд; токсичные снаряды
сыворотка торпорной вместимости; сыворотки торпорной вместимости
наноструктурирующий чип; наноструктурирующие чипы
энергофокусирующий чип; энергофокусирующие чипы
сигнальный чип; сигнальные чипы
базовое субъядро; базовые субъядра
продвинутое субъядро; продвинутые субъядра
стандартное субъядро; стандартные субъядра
мешок отходов; мешки отходов
токситофель; токситофель
незаконченное субъядро; незаконченные субъядра
капсула с архитами; капсулы с архитами
генный пакет; генные пакеты
эмбрион; эмбрионы
яйцеклетка; яйцеклетки
передатчик механоидов; передатчики механоидов
ксеносемя; ксеносемена
пень Поллукса; пни Поллукса
древо Поллукса; древа Поллукса
разбитый пень Поллукса; разбитые пни Поллукса
серая трава; серая трава
галечный кактус; галечные кактусы
крысиная пальма; крысиные пальмы
крюкошип; крюкошипы
серая сосна; серые сосны
ведьмино дерево; ведьмины деревья
бластерная турель; бластерные турели
снаряд токсичного гранатомёта; снаряды токсичного гранатомёта
зажигательный лук; зажигательные луки
токсичный гранатомёт; токсичные гранатомёты
зажигательная стрела; зажигательные стрелы
токсичная граната; токсичные гранаты
снаряд дезинтегратора; снаряды дезинтегратора
дезинтегратор; дезинтеграторы
пуля; пули
шип; шипы
мини-огнемёт; мини-огнемёты
мини-дробовик; мини-дробовики
ружьё механоидов; ружья механоидов
шипомёт; шипомёты
токсичная игла; токсичные иглы
энергоплеть; энергоплети
игломёт; игломёты
токсичная иглопушка; токсичные иглопушки

// ThingDef.chargeNoun
пуск; пуски

// XenotypeDef
первозданный; первозданные
кроточеловек; кротолюди
инж; инжи
ангел; ангелы
гусар; гусары
импид; импиды
неандерталец; неандертальцы
свиночеловек; свинолюди
гемофаг; гемофаги
мусорщик; мусорщики
иттакин; иттакины
